date,price
2023-01-01,100.96
2023-01-02,100.62
2023-01-03,101.44
2023-01-04,102.41
2023-01-05,103.3
2023-01-06,103.67
2023-01-07,103.28
2023-01-08,102.83
2023-01-09,102.79
2023-01-10,102.9
2023-01-11,102.68
2023-01-12,103.65
2023-01-13,104.14
2023-01-14,103.85
2023-01-15,103.72
2023-01-16,104.57
2023-01-17,104.95
2023-01-18,105.26
2023-01-19,105.77
2023-01-20,106.83
2023-01-21,107.4
2023-01-22,108.5
2023-01-23,109.26
2023-01-24,108.97
2023-01-25,108.96
2023-01-26,108.64
2023-01-27,108.95
2023-01-28,109.14
2023-01-01,108.65
2023-01-02,108.58
2023-01-03,108.46
2023-01-04,108.25
2023-01-05,108.27
2023-01-06,109.47
2023-01-07,109.81
2023-01-08,110.59
2023-01-09,111.18
2023-01-10,111.47
2023-01-11,112.37
2023-01-12,113.31
2023-01-13,114.08
2023-01-14,113.69
2023-01-15,113.75
2023-01-16,114.21
2023-01-17,113.72
2023-01-18,113.94
2023-01-19,113.83
2023-01-20,113.61
2023-01-21,113.16
2023-01-22,113.55
2023-01-23,113.37
2023-01-24,113.89
2023-01-25,113.77
2023-01-26,114.48
2023-01-27,115.36
2023-01-28,116.07
2023-01-01,116.94
2023-01-02,116.86
2023-01-03,117.17
2023-01-04,116.96
2023-01-05,117.0
2023-01-06,117.75
2023-01-07,118.67
2023-01-08,119.51
2023-01-09,119.14
2023-01-10,118.96
2023-01-11,118.93
2023-01-12,119.6
2023-01-13,119.82
2023-01-14,119.39
2023-01-15,119.95
2023-01-16,119.8
2023-01-17,119.33
2023-01-18,119.29
2023-01-19,119.37
2023-01-20,120.5
2023-01-21,120.71
2023-01-22,120.83
2023-01-23,120.9
2023-01-24,121.71
2023-01-25,121.84
2023-01-26,122.83
2023-01-27,122.63
2023-01-28,122.18
2023-01-01,123.27
2023-01-02,123.23
2023-01-03,123.92
2023-01-04,124.29
2023-01-05,124.33
2023-01-06,124.67
2023-01-07,124.23
2023-01-08,124.25
2023-01-09,125.21
2023-01-10,125.67
2023-01-11,125.96
2023-01-12,125.84
2023-01-13,125.78
2023-01-14,125.8
2023-01-15,125.35
2023-01-16,126.37
2023-01-17,127.05
2023-01-18,127.45
2023-01-19,127.78
2023-01-20,128.62
2023-01-21,129.73
2023-01-22,129.81
2023-01-23,130.93
2023-01-24,130.68
2023-01-25,131.46
2023-01-26,131.03
2023-01-27,132.07
2023-01-28,132.13
2023-01-01,132.96
2023-01-02,132.73
2023-01-03,133.12
2023-01-04,133.16
2023-01-05,132.84
2023-01-06,132.66
2023-01-07,132.98
2023-01-08,133.93
2023-01-09,134.64
2023-01-10,134.7
2023-01-11,134.65
2023-01-12,135.78
2023-01-13,136.55
2023-01-14,136.24
2023-01-15,136.58
2023-01-16,137.77
2023-01-17,137.6
2023-01-18,137.46
2023-01-19,137.33
2023-01-20,137.15
2023-01-21,137.07
2023-01-22,137.67
2023-01-23,137.38
2023-01-24,137.54
2023-01-25,138.29
2023-01-26,139.27
2023-01-27,140.44
2023-01-28,141.42
2023-01-01,141.52
2023-01-02,142.59
2023-01-03,142.4
2023-01-04,142.03
2023-01-05,142.88
2023-01-06,143.32
2023-01-07,143.87
2023-01-08,144.14
2023-01-09,144.07
2023-01-10,143.79
2023-01-11,144.89
2023-01-12,145.47
2023-01-13,145.48
2023-01-14,146.57
2023-01-15,146.3
2023-01-16,147.49
2023-01-17,148.64
2023-01-18,148.22
2023-01-19,148.47
2023-01-20,148.75
2023-01-21,149.57
2023-01-22,149.36
2023-01-23,149.17
2023-01-24,149.14
2023-01-25,149.54
2023-01-26,149.55
2023-01-27,150.4
2023-01-28,150.97
2023-01-01,151.69
2023-01-02,151.34
2023-01-03,152.06
2023-01-04,152.61
2023-01-05,152.93
2023-01-06,153.05
2023-01-07,152.91
2023-01-08,152.64
2023-01-09,152.56
2023-01-10,152.25
2023-01-11,152.22
2023-01-12,152.07
2023-01-13,152.06
2023-01-14,152.98
2023-01-15,153.43
2023-01-16,153.26
2023-01-17,152.92
2023-01-18,153.55
2023-01-19,154.5
2023-01-20,155.19
2023-01-21,155.91
2023-01-22,156.18
2023-01-23,156.82
2023-01-24,156.5
2023-01-25,156.35
2023-01-26,156.7
2023-01-27,157.27
2023-01-28,157.62
2023-01-01,158.43
2023-01-02,159.34
2023-01-03,159.5
2023-01-04,159.72
2023-01-05,160.36
2023-01-06,160.79
2023-01-07,161.64
2023-01-08,162.42
2023-01-09,162.18
2023-01-10,163.02
2023-01-11,162.91
2023-01-12,163.04
2023-01-13,163.63
2023-01-14,163.36
2023-01-15,163.05
2023-01-16,163.05
2023-01-17,163.66
2023-01-18,164.57
2023-01-19,165.52
2023-01-20,166.21
2023-01-21,166.76
2023-01-22,167.21
